period,product_name,product_type,fund_name,fund_abn,fund_type,total_assets_aud_m,return_target_above_cpi_pct,risk_level_label,statement_fee_aud,property_benchmark_pct,infrastructure_benchmark_pct,commodities_benchmark_pct,other_investments_benchmark_pct
2020-06-30,MIESF MySuper,Generic,Meat Industry Employees Superannuation Fund,17317520544,Industry,812.6,2.30,Medium,397.00,22.0,10.0,,
2020-06-30,Balanced investment option (accumulation),Generic,Media Super,42574421650,Industry,4095.1,3.30,Medium to high,525.00,10.0,12.0,,8.0
2020-06-30,Mercer Santos MySuper,Large employer,Mercer Super Trust,19905422981,Retail,213.3,4.10,Medium to high,474.96,8.0,6.5,0.5,3.5
2020-06-30,Mercer SmartPath,Generic,Mercer Super Trust,19905422981,Retail,8313.7,,,,,,,
2020-06-30,Mercer Tailored (CRG) MySuper,Large employer,Mercer Super Trust,19905422981,Retail,905.6,,,,,,,
2020-06-30,Mercer WGSP MySuper,Large employer,Mercer Super Trust,19905422981,Retail,1021.4,,,,,,,
2020-06-30,Virgin Money MySuper,Material goodwill,Mercer Super Trust,19905422981,Retail,528.1,,,,,,,
2020-06-30,MySuper Balanced,Generic,Mercy Super,11789425178,Corporate,1070.2,3.50,Medium to high,631.20,12.0,12.0,,6.0
2020-06-30,Default Lifecycle,Generic,Mine Superannuation Fund,16457520308,Industry,6315.9,,,,,,,
2020-06-30,MySuper,Generic,MLC Super Fund,70732426024,Retail,24689.1,,,,,,,
2020-06-30,NAB Staff MySuper,Large employer,MLC Super Fund,70732426024,Retail,2461.8,4.70,Medium to high,558.00,10.0,5.0,,8.0
2020-06-30,MyCatholicSuper,Generic,MyLifeMyMoney Superannuation Fund,50237896957,Industry,5893.6,,,,,,,
2020-06-30,NESS MySuper,Generic,NESS Super,72229227691,Industry,646.4,3.00,Medium to high,557.00,10.0,7.5,,0.0
2020-06-30,Diversified (MySuper),Generic,NGS Super,73549180515,Industry,7303.0,3.70,Medium to high,460.00,9.0,10.0,,10.0
2020-06-30,MySuper Passive Balanced,Generic,OneSuper,43905581638,Retail,38.3,2.50,High,561.00,3.0,3.0,,
2020-06-30,Perpetual MySuper,Generic,Perpetual's Select Superannuation Fund,51068260563,Retail,208.5,3.00,High,550.00,6.0,0.0,0.0,12.0
2020-06-30,MySuper,Generic,Prime Super,60562335823,Industry,4296.5,3.00,Medium to high,604.00,7.5,14.0,,0.0
2020-06-30,PSSap MySuper Balanced,Generic,Public Sector Superannuation Accumulation Plan,65127917725,Public Sector,12315.4,3.50,Medium to high,574.00,8.0,4.0,,19.0
2020-06-30,Glidepath,Generic,Qantas Superannuation Plan,41272198829,Corporate,1018.7,,,,,,,
2020-06-30,Balanced,Generic,Rei Super,76641658449,Industry,1246.5,3.00,Medium to high,600.80,11.0,3.0,,0.0
2020-06-30,REST Super,Generic,Retail Employees Superannuation Trust,62653671394,Industry,46157.2,4.60,Medium to high,452.60,11.0,11.0,1.0,6.0
2020-06-30,ANZ Smart Choice Super for employers and their employees,Generic,Retirement Portfolio Service,61808189263,Retail,9862.0,,,,,,,
2020-06-30,ANZ Smart Choice Super for QBE Management Services Pty Ltd and their employees,Large employer,Retirement Portfolio Service,61808189263,Retail,339.4,,,,,,,
2020-06-30,BT Super MySuper,Generic,Retirement Wrap,39827542991,Retail,15271.1,,,,,,,
2020-06-30,Westpac Group Plan MySuper,Large employer,Retirement Wrap,39827542991,Retail,2637.0,,,,,,,
2020-06-30,GoalTracker,Generic,Russell Investments Master Trust,89384753567,Retail,3008.6,,,,,,,
2020-06-30,smartMonday Lifecycle,Generic,Smart Future Trust,68964712340,Retail,2244.8,,,,,,,
2020-06-30,Balanced (MySuper),Generic,Spirit Super,74559365913,Industry,10355.3,3.30,Medium to high,443.00,10.5,15.5,,0.0
2020-06-30,Suncorp Lifestage Funds,Generic,SPSL Master Trust,98350952022,Retail,1861.9,,,,,,,
2020-06-30,Statewide MySuper,Generic,Statewide Superannuation Trust,54145196298,Industry,5817.3,3.00,High,523.00,9.0,9.0,,
2020-06-30,Sunsuper for Life,Generic,Sunsuper Superannuation Fund,98503137921,Industry,40862.4,,,,,,,
2020-06-30,Tasplan MySuper,Generic,Tasplan Superannuation Fund,14602032302,Industry,6110.5,,,,,,,
2020-06-30,Telstra Super MySuper,Generic,Telstra Superannuation Scheme,85502108833,Corporate,6921.2,,,,,,,
2020-06-30,Bendigo MySuper,Generic,The Bendigo Superannuation Plan,57526653420,Retail,302.5,,,,,,,
2020-06-30,VISSF Balanced Option (MySuper Product),Generic,The Victorian Independent Schools Superannuation Fund,37024873660,Industry,279.6,3.00,High,562.00,5.0,3.0,,
2020-06-30,MySuper Growth,Generic,Toyota Super,58208377062,Corporate,499.9,4.00,High,608.00,6.0,2.6,,9.6
2020-06-30,Balanced (MySuper),Generic,TWU Superannuation Fund,77343563307,Industry,4856.5,4.43,Medium to high,758.00,9.0,8.0,,6.0
2020-06-30,UniSuper Balanced,Generic,Unisuper,91385943850,Industry,21074.1,4.60,High,371.00,9.0,2.5,,0.0
2020-06-30,My WA Super,Generic,WA Local Government Superannuation Plan,18159499614,Public Sector,1886.0,2.50,High,553.00,10.0,8.0,,12.0
2020-03-31,AMG MySuper,Generic,AMG Super,30099320583,Retail,162.1,2.42,High,520.00,10.0,,,
2020-03-31,AMP MySuper No.1,Generic,AMP Retirement Trust,73310248809,Retail,1038.1,4.60,High,452.52,6.0,6.0,,0.0
2020-03-31,AMP MySuper No.3,Generic,AMP Super Fund,78421957449,Retail,1053.0,,,,,,,
2020-03-31,AFLPA & AFL Industry MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,132.9,,,,,,,
2020-03-31,AMP MySuper No.2,Generic,AMP Superannuation Savings Trust,76514770399,Retail,13225.5,,,,,,,
2020-03-31,Anglican National MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,141.6,,,,,,,
2020-03-31,Australia Post MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,8.2,,,,,,,
2020-03-31,Brookfield Australia MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,122.3,4.40,High,270.00,8.0,5.0,,9.0
2020-03-31,CCA MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,337.1,,,,,,,
2020-03-31,Macquarie Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,415.7,4.50,Medium to high,470.00,,,,12.5
2020-03-31,Water Corporation MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,273.3,,,,,,,
2020-03-31,Woolworths Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,2737.5,5.00,Medium to high,463.50,6.0,5.0,,6.0
2020-03-31,ANZ Staff MySuper,Generic,ANZ Australian Staff Superannuation Scheme,83810127567,Corporate,1978.6,2.10,Medium to high,325.00,9.5,6.0,,16.0
2020-03-31,Asgard Employee MySuper,Generic,ASGARD Independence Plan Division Two,90194410365,Retail,2313.8,,,,,,,
2020-03-31,BALANCED,Generic,Australia Post Superannuation Scheme,42045077895,Public Sector,892.6,3.00,High,608.00,,,,23.0
2020-03-31,LifetimeOne,Generic,Australian Catholic Superannuation and Retirement Fund,24680629023,Industry,4791.8,,,,,,,
2020-03-31,ADF MySuper,Generic,Australian Defence Force Superannuation Scheme,90302247344,Public Sector,367.6,3.50,Medium to high,574.00,11.0,1.0,,19.0
2020-03-31,Balanced (accumulation),Generic,Australian Ethical Retail Superannuation Fund,49633667743,Retail,1245.1,3.50,Medium to high,657.00,10.0,5.0,,
2020-03-31,AMIST MySuper,Generic,Australian Meat Industry Superannuation Trust,28342064803,Industry,1808.9,3.00,Medium to high,469.00,15.0,10.0,,5.0
2020-03-31,QSuper Lifetime,Generic,Australian Retirement Trust,60905115063,Public Sector,42977.8,,,,,,,
2020-03-31,AustralianSuper MySuper,Generic,AustralianSuper,65714394898,Industry,117837.1,3.84,High,417.00,7.0,13.0,,0.0
2020-03-31,AvSuper Growth (MySuper),Generic,AvSuper Fund,84421446069,Public Sector,653.6,3.50,Medium to high,560.00,10.0,8.0,,1.0
2020-03-31,MySuper Lifecycle,Generic,Aware Super,53226460365,Public Sector,51711.8,,,,,,,
2020-03-31,BOC MySuper,Generic,Boc Gases Superannuation Fund,49620344668,Corporate,388.1,2.60,High,644.00,11.0,7.4,,7.4
2020-03-31,BUSSQ MySuper,Generic,Building Unions Superannuation Scheme (Queensland),85571332201,Industry,3442.4,4.00,Medium to high,647.00,13.0,12.5,4.0,
2020-03-31,CareSuper,Generic,Care Super,98172275725,Industry,10922.3,5.70,Medium,583.00,12.0,8.0,,
2020-03-31,My Ethical Super,Generic,Christian Super,66628776348,Industry,927.6,2.60,High,700.00,9.8,5.9,,1.2
2020-03-31,Club Plus Super _ MySuper,Generic,Club Plus Superannuation Scheme,95275115088,Industry,2052.8,2.67,High,574.00,11.0,6.0,,16.0
2020-03-31,FirstChoice Employer Super,Generic,Colonial First State FirstChoice Superannuation Trust,26458298557,Retail,8525.4,,,,,,,
2020-03-31,Accumulate Plus Balanced,Generic,Commonwealth Bank Group Super,24248426878,Corporate,5848.2,2.00,High,412.65,8.1,7.2,,2.7
2020-03-31,Growth (Cbus MySuper),Generic,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,Industry,42032.8,3.30,Medium to high,524.00,13.0,11.5,,4.5
2020-03-31,Balanced (MySuper),Generic,Energy Industries Superannuation Scheme-Pool A,22277243559,Public Sector,925.1,3.00,Medium to high,475.00,10.0,10.0,,10.0
2020-03-31,MySuper,Generic,Energy Super,33761363685,Industry,1996.9,5.01,Medium to high,497.00,12.0,8.0,,13.0
2020-03-31,Equipsuper MySuper,Generic,equipsuper,33813823017,Industry,5565.3,5.35,Medium to high,482.00,7.0,7.0,,13.0
2020-03-31,Essential Super,Generic,Essential Super,56601925435,Retail,3003.1,,,,,,,
2020-03-31,First Super MySuper,Generic,First Super,56286625181,Industry,2647.1,3.50,Medium,818.00,10.0,10.0,,2.0
2020-03-31,Goldman Sachs & JBWere Superannuation Fund_MySuper Product,Generic,Goldman Sachs & JBWere Superannuation Fund,55697537183,Corporate,424.9,4.00,Very high,745.00,,,,7.0
2020-03-31,Guild Retirement Fund (MySuper),Generic,Guild Retirement Fund,22599554834,Retail,1299.3,,,,,,,
2020-03-31,HESTA MySuper,Generic,HESTA,64971749321,Industry,39549.8,3.79,Medium to high,515.00,9.5,12.0,,5.5
2020-03-31,Balanced option,Generic,HOSTPLUS Superannuation Fund,68657495890,Industry,32384.7,3.00,Medium to high,533.00,13.0,12.0,,8.0
2020-03-31,MySuper,Generic,IAG & NRMA Superannuation Plan,58244115920,Corporate,1346.3,2.66,High,660.00,7.0,3.0,,20.0
2020-03-31,Active Balanced,Generic,Incitec Pivot Employees Superannuation Fund,68569795856,Retail,50.3,2.60,High,566.00,13.0,3.4,,2.4
2020-03-31,Intrust MySuper,Generic,Intrust Super Fund,65704511371,Industry,1891.6,4.69,Medium to high,633.00,10.0,5.0,,13.0
2020-03-31,IOOF MySuper,Generic,IOOF Portfolio Service Superannuation Fund,70815369818,Retail,2996.4,3.00,High,632.00,10.0,2.7,,3.6
2020-03-31,MySuper Balanced,Generic,Labour Union Co-Operative Retirement Fund,26382680883,Industry,5018.2,2.90,Medium to high,489.81,10.0,8.0,,6.9
2020-03-31,MySuper Balanced,Generic,legalsuper,60346078879,Industry,1899.2,3.00,Medium to high,632.60,12.0,9.8,,
2020-03-31,LESF MySuper,Generic,LESF Super,13704288646,Retail,126.2,2.50,High,645.00,3.0,3.0,,
2020-03-31,LGIASuper MySuper Lifecycle,Generic,LGIAsuper,23053121564,Public Sector,7347.3,,,,,,,
2020-03-31,Vision MySuper,Generic,Local Authorities Superannuation Fund,24496637884,Public Sector,4102.5,3.00,High,488.00,11.0,11.0,,0.0
2020-03-31,Active Super Lifestage Product,Generic,Local Government Super,28901371321,Public Sector,4057.5,,,,,,,
2020-03-31,Balanced Option_MySuper Compliant,Generic,Lutheran Super,93371348387,Corporate,261.5,3.00,Medium to high,526.00,10.0,10.0,,5.0
2020-03-31,MYSUPER INVESTMENT OPTION,Generic,Maritime Super,77455663441,Industry,872.7,,,,,,,
2020-03-31,Max Super Fund MySuper Plan,Generic,Max Super Fund,22508720840,Retail,20.8,4.00,High,564.00,12.0,,,
2020-03-31,MIESF MySuper,Generic,Meat Industry Employees Superannuation Fund,17317520544,Industry,802.4,2.30,Medium,397.00,22.0,10.0,,
2020-03-31,Balanced investment option (accumulation),Generic,Media Super,42574421650,Industry,3924.8,3.30,Medium to high,495.00,10.0,12.0,,8.0
2020-03-31,Mercer Santos MySuper,Large employer,Mercer Super Trust,19905422981,Retail,200.4,4.10,Medium to high,474.96,8.0,6.5,0.5,7.5
2020-03-31,Mercer SmartPath,Generic,Mercer Super Trust,19905422981,Retail,7801.4,,,,,,,
2020-03-31,Mercer Tailored (CRG) MySuper,Large employer,Mercer Super Trust,19905422981,Retail,861.5,,,,,,,
2020-03-31,Mercer WGSP MySuper,Large employer,Mercer Super Trust,19905422981,Retail,971.2,,,,,,,
2020-03-31,Virgin Money MySuper,Material goodwill,Mercer Super Trust,19905422981,Retail,494.8,,,,,,,
2020-03-31,MySuper Balanced,Generic,Mercy Super,11789425178,Corporate,978.0,3.50,Medium to high,660.20,12.0,12.0,,6.0
2020-03-31,Default Lifecycle,Generic,Mine Superannuation Fund,16457520308,Industry,5904.1,,,,,,,
2020-03-31,MySuper,Generic,MLC Super Fund,70732426024,Retail,23652.6,,,,,,,
2020-03-31,NAB Staff MySuper,Large employer,MLC Super Fund,70732426024,Retail,2361.7,4.70,Medium to high,558.00,10.0,5.0,,8.0
2020-03-31,MyCatholicSuper,Generic,MyLifeMyMoney Superannuation Fund,50237896957,Industry,5503.2,,,,,,,
2020-03-31,NESS MySuper,Generic,NESS Super,72229227691,Industry,621.1,3.00,Medium to high,557.00,12.0,7.5,,0.0
2020-03-31,Diversified (MySuper),Generic,NGS Super,73549180515,Industry,6937.5,3.70,Medium to high,460.00,9.0,10.0,,10.0
2020-03-31,MySuper Passive Balanced,Generic,OneSuper,43905581638,Retail,37.7,2.50,High,561.00,3.0,3.0,,
2020-03-31,Perpetual MySuper,Generic,Perpetual's Select Superannuation Fund,51068260563,Retail,199.4,3.00,High,550.00,6.0,0.0,0.0,12.0
2020-03-31,Pitcher Retirement Plan MySuper,Generic,Pitcher Retirement Plan,15828677472,Corporate,28.9,2.40,Medium,965.00,8.0,4.0,,
2020-03-31,MySuper,Generic,Prime Super,60562335823,Industry,4140.3,3.00,Medium to high,604.00,7.5,14.0,,0.0
2020-03-31,PSSap MySuper Balanced,Generic,Public Sector Superannuation Accumulation Plan,65127917725,Public Sector,11589.8,3.50,Medium to high,574.00,11.0,1.0,,19.0
2020-03-31,Glidepath,Generic,Qantas Superannuation Plan,41272198829,Corporate,971.1,,,,,,,
2020-03-31,Balanced,Generic,Rei Super,76641658449,Industry,1170.1,3.00,Medium to high,600.80,11.0,3.0,,0.0
2020-03-31,REST Super,Generic,Retail Employees Superannuation Trust,62653671394,Industry,46006.8,4.60,Medium to high,452.60,11.0,11.0,1.0,6.0
2020-03-31,ANZ Smart Choice Super for employers and their employees,Generic,Retirement Portfolio Service,61808189263,Retail,9154.3,,,,,,,
2020-03-31,ANZ Smart Choice Super for QBE Management Services Pty Ltd and their employees,Large employer,Retirement Portfolio Service,61808189263,Retail,306.1,,,,,,,
2020-03-31,BT Super MySuper,Generic,Retirement Wrap,39827542991,Retail,14652.4,,,,,,,
2020-03-31,Westpac Group Plan MySuper,Large employer,Retirement Wrap,39827542991,Retail,2362.7,,,,,,,
2020-03-31,GoalTracker,Generic,Russell Investments Master Trust,89384753567,Retail,2855.1,,,,,,,
2020-03-31,smartMonday Lifecycle,Generic,Smart Future Trust,68964712340,Retail,2065.1,,,,,,,
2020-03-31,Balanced (MySuper),Generic,Spirit Super,74559365913,Industry,9957.1,3.30,Medium to high,443.00,10.5,15.5,,0.0
2020-03-31,Suncorp Lifestage Funds,Generic,SPSL Master Trust,98350952022,Retail,1778.6,,,,,,,
2020-03-31,Statewide MySuper,Generic,Statewide Superannuation Trust,54145196298,Industry,5475.5,3.00,High,523.00,9.0,9.0,,
2020-03-31,Sunsuper for Life,Generic,Sunsuper Superannuation Fund,98503137921,Industry,40153.6,,,,,,,
2020-03-31,Tasplan MySuper,Generic,Tasplan Superannuation Fund,14602032302,Industry,5765.7,,,,,,,
2020-03-31,Telstra Super MySuper,Generic,Telstra Superannuation Scheme,85502108833,Corporate,6639.6,,,,,,,
2020-03-31,Bendigo MySuper,Generic,The Bendigo Superannuation Plan,57526653420,Retail,279.9,,,,,,,
2020-03-31,VISSF Balanced Option (MySuper Product),Generic,The Victorian Independent Schools Superannuation Fund,37024873660,Industry,308.2,3.00,High,562.00,5.0,3.0,,
2020-03-31,MySuper Growth,Generic,Toyota Super,58208377062,Corporate,474.9,4.00,High,608.00,6.0,2.6,,9.6
2020-03-31,Balanced (MySuper),Generic,TWU Superannuation Fund,77343563307,Industry,4692.5,4.43,Medium to high,758.00,9.0,8.0,,6.0
2020-03-31,UniSuper Balanced,Generic,Unisuper,91385943850,Industry,18950.1,4.60,High,371.00,9.0,2.5,,0.0
2020-03-31,Balanced,Generic,United Technologies Corporation Retirement Plan,33227241196,Retail,46.8,2.60,High,594.00,10.0,,,20.0
2020-03-31,Growth (MySuper),Generic,Victorian Superannuation Fund,85977964496,Public Sector,13021.8,3.50,Medium to high,583.00,8.5,8.0,,5.0
2020-03-31,My WA Super,Generic,WA Local Government Superannuation Plan,18159499614,Public Sector,1779.2,2.50,High,553.00,10.0,8.0,0.0,12.0
2019-12-31,AMG MySuper,Generic,AMG Super,30099320583,Retail,193.3,2.42,High,520.00,10.0,,,
2019-12-31,AMP MySuper No.1,Generic,AMP Retirement Trust,73310248809,Retail,1201.6,4.60,High,452.52,6.0,6.0,,0.0
2019-12-31,AMP MySuper No.3,Generic,AMP Super Fund,78421957449,Retail,1216.3,,,,,,,
2019-12-31,AFLPA & AFL Industry MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,155.9,,,,,,,
2019-12-31,AMP MySuper No.2,Generic,AMP Superannuation Savings Trust,76514770399,Retail,15311.9,,,,,,,
2019-12-31,Anglican National MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,163.8,,,,,,,
2019-12-31,Australia Post MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,300.5,,,,,,,
2019-12-31,Brookfield Australia MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,141.5,4.40,High,270.00,8.0,5.0,,8.0
2019-12-31,CCA MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,388.8,,,,,,,
2019-12-31,Macquarie Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,434.1,4.50,Medium to high,470.00,,,,12.5
2019-12-31,Water Corporation MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,311.2,,,,,,,
2019-12-31,Woolworths Group MySuper,Large employer,AMP Superannuation Savings Trust,76514770399,Retail,3114.2,5.00,Medium to high,463.50,6.0,5.0,,6.0
2019-12-31,ANZ Staff MySuper,Generic,ANZ Australian Staff Superannuation Scheme,83810127567,Corporate,2376.0,2.10,Medium to high,325.00,9.5,6.0,,16.0
2019-12-31,Asgard Employee MySuper,Generic,ASGARD Independence Plan Division Two,90194410365,Retail,2737.3,,,,,,,
2019-12-31,BALANCED,Generic,Australia Post Superannuation Scheme,42045077895,Public Sector,1010.5,3.00,High,608.00,,,,23.0
2019-12-31,LifetimeOne,Generic,Australian Catholic Superannuation and Retirement Fund,24680629023,Industry,5006.3,,,,,,,
2019-12-31,ADF MySuper,Generic,Australian Defence Force Superannuation Scheme,90302247344,Public Sector,365.2,3.50,Medium to high,574.00,11.0,1.0,,19.0
2019-12-31,Balanced (accumulation),Generic,Australian Ethical Retail Superannuation Fund,49633667743,Retail,1240.0,3.50,Medium to high,657.00,10.0,5.0,,
2019-12-31,AMIST MySuper,Generic,Australian Meat Industry Superannuation Trust,28342064803,Industry,2050.7,3.00,Medium to high,469.00,15.0,10.0,,5.0
2019-12-31,QSuper Lifetime,Generic,Australian Retirement Trust,60905115063,Public Sector,45985.6,,,,,,,
2019-12-31,AustralianSuper MySuper,Generic,AustralianSuper,65714394898,Industry,131949.3,3.84,High,417.00,7.0,13.0,,0.0
2019-12-31,AvSuper Growth (MySuper),Generic,AvSuper Fund,84421446069,Public Sector,769.7,3.50,Medium to high,560.00,10.0,8.0,,1.0
2019-12-31,MySuper Lifecycle,Generic,Aware Super,53226460365,Public Sector,56776.5,,,,,,,
2019-12-31,BOC MySuper,Generic,Boc Gases Superannuation Fund,49620344668,Corporate,473.4,2.60,High,644.00,11.0,8.4,,6.4
2019-12-31,BUSSQ MySuper,Generic,Building Unions Superannuation Scheme (Queensland),85571332201,Industry,3677.2,4.00,Medium to high,647.00,13.0,12.5,4.0,
